transaction_id,store_id,review_score
7430,1,5
912,3,3
4203,5,3
2205,4,4
5166,5,5
2755,5,
2036,5,5
5712,1,2
5296,5,4
6964,4,2
6460,2,
5960,1,5
6848,5,3
4775,2,4
4150,2,2
597,3,3
2535,1,2
4129,1,5
2181,4,1
6204,2,1
4046,5,
4041,5,5
2874,2,4
6658,4,4
1737,3,5
3821,4,4
5334,5,1
2531,2,5
2774,3,3
2982,2,2
4702,3,3
3092,5,1
1364,5,2
386,5,
4943,5,2
7723,5,5
1373,5,2
5117,3,3
6332,2,4
7662,2,3
365,5,4
327,1,2
1535,2,4
1022,5,4
7592,2,3
2629,4,4
6666,5,1
1835,1,2
7636,4,2
1122,4,1
851,1,4
6501,1,4
2060,3,
2906,5,4
3903,5,2
266,2,4
5545,4,3
550,2,2
602,1,3
1520,5,3
2389,3,3
1768,3,5
5431,4,4
749,5,4
6735,1,1
1956,1,3
6176,4,4
6694,4,1
1615,4,3
4715,4,
3911,1,1
7369,2,3
753,4,3
3686,5,4
7313,3,4
7909,1,2
126,4,2
6767,5,3
6201,1,1
7447,1,1
844,4,4
6927,3,2
892,1,4
4665,1,3
4280,4,4
330,1,4
7176,5,2
4710,5,3
3629,1,2
5799,2,4
2932,3,3
6573,1,4
4077,2,3
6828,3,5
3407,1,2
1811,4,
1654,2,1
7930,3,1
5395,3,1
6567,2,1
7596,3,4
7574,1,1
815,3,3
583,4,1
7109,2,5
1075,4,4
1843,5,4
6031,2,1
1631,3,4
4249,1,5
7695,3,5
3891,1,5
6395,5,1
1153,2,1
7342,1,
1389,5,1
4449,5,
4311,4,3
5914,2,4
1719,5,1
1230,5,3
1975,1,4
1119,2,3
6162,4,5
2320,5,2
7251,2,3
3070,5,5
5910,2,4
2888,5,4
4532,4,5
6710,1,
6705,1,3
2512,5,5
2707,3,3
216,4,
4471,5,3
552,4,3
1017,1,2
2488,1,
6485,2,3
3753,4,5
4597,4,4
3458,4,2
4910,3,1
3232,1,4
6684,4,5
6248,1,5
1827,1,1
2490,5,4
4782,4,2
1310,4,3
7186,2,
2050,2,5
7031,2,1
1484,3,1
3370,3,2
7370,4,2
2280,2,1
6116,1,4
601,2,2
6669,4,
5217,1,4
2552,4,
2089,5,2
6423,4,1
2801,2,1
1715,5,4
4796,5,3
6612,4,3
5636,3,3
7965,3,3
7788,2,1
7570,2,1
6780,1,3
5714,2,2
16,3,2
363,4,1
5631,3,1
7770,5,4
126,5,3
7195,2,3
1861,3,1
6200,2,5
5706,3,
317,4,4
3956,2,3
7155,4,3
5942,4,3
5897,2,5
68,4,2
3452,4,3
1018,3,3
339,3,4
803,1,1
6103,4,5
4146,2,
6862,3,2
7079,3,5
396,1,
4468,1,2
4367,3,3
2358,4,5
7102,4,3
1870,5,2
7352,4,3
1881,2,4
4195,5,2
3372,3,1
6799,4,5
2021,5,2
5594,2,4
2444,5,5
1872,5,5
2136,4,3
1199,1,4
7265,1,
491,1,1
4107,5,2
3091,3,3
6928,5,2
3995,3,1
6314,1,3
3504,1,4
2138,1,1
793,4,5
4636,3,2
4797,4,5
1866,4,
1548,4,
2292,4,4
3528,2,4
5002,4,2
5088,4,3
1540,1,4
3823,5,2
1557,2,5
2055,1,4
5464,3,1
7290,1,1
7709,3,
7337,5,3
188,5,1
1266,5,1
4870,1,5
2712,1,3
2604,2,2
7039,2,
4734,5,5
2542,2,5
752,4,3
5493,4,4
3247,3,5
3118,1,5
390,5,3
3810,5,4
7337,2,1
4674,4,2
4624,3,1
1522,5,3
1216,5,1
7375,4,5
2398,2,2
5487,4,1
5036,5,5
7641,3,5
6660,2,3
7721,3,4
3937,2,4
5301,5,5
7112,3,2
4945,2,2
1449,1,3
2514,3,2
2339,4,5
4242,5,5
1278,1,1
6507,2,2
6669,4,1
3569,3,2
1538,4,2
7849,3,5
439,2,4
7778,3,4
4187,5,4
4298,5,1
2852,3,5
6276,2,3
3585,5,5
153,1,2
1554,4,5
5869,4,4
6415,1,3
7033,3,5
7782,3,5
5422,2,2
7925,1,4
4051,1,4
1761,3,5
2813,1,1
619,4,4
5927,2,5
1631,4,3
1050,4,1
7258,4,4
718,2,2
1739,3,4
4880,5,1
792,5,5
4855,4,1
3092,1,2
5218,2,5
744,3,1
5076,4,5
369,1,4
2732,1,2
7894,3,2
5727,5,3
6025,5,1
6945,2,1
891,2,4
154,5,3
6118,4,2
2157,2,3
3507,1,2
7605,1,5
7787,1,
653,3,1
1492,1,5
4821,5,4
7200,1,4
7518,3,3
6282,2,3
6681,3,
6176,4,
7617,1,5
445,4,5
5291,3,4
343,1,4
2662,5,3
1131,1,1
2894,3,2
1491,2,1
504,4,2
7113,3,3
1890,1,5
1790,5,5
6102,2,3
3218,5,3
3586,1,5
7889,2,3
2498,4,3
2632,2,5
4273,4,3
4483,2,3
1162,2,4
7044,3,1
4481,5,1
7087,1,4
4942,5,2
1769,5,2
3272,5,1
3556,4,
6488,5,5
7789,4,2
6542,4,4
2990,5,3
4655,1,3
4802,4,1
5684,1,3
3803,2,3
2115,1,2
414,3,1
4513,2,
4888,4,5
4809,1,4
4017,2,
4169,4,2
6398,5,5
1229,2,4
2364,3,5
6979,3,1
2477,5,1
7310,3,2
6182,1,2
5351,3,3
2452,1,2
6401,2,1
1115,4,5
2667,2,2
661,5,2
6697,5,4
2178,1,2
5120,2,3
6679,5,1
4980,3,1
4498,5,
3547,1,2
4475,2,4
1934,2,4
2235,5,2
7529,1,4
1149,3,3
824,4,5
5166,5,5
6204,2,2
150,2,1
6017,4,5
847,2,
190,3,2
3359,3,4
2697,5,1
49,1,4
2172,4,1
7099,5,2
3944,2,4
6323,3,4
316,4,3
5963,5,5
5860,2,3
3384,4,5
6909,2,2
634,3,5
2136,1,4
1811,2,2
5181,3,3
6807,1,2
3670,4,5
6695,3,4
970,3,1
7993,3,1
7443,1,1
5026,2,4
7553,5,4
3198,5,3
5944,3,5
5408,2,2
4735,4,4
5639,2,3
3897,3,5
6206,5,3
4714,2,
2952,4,1
6366,5,1
2457,2,1
3188,1,4
1109,2,1
2388,1,1
4032,3,4
829,2,3
6680,1,3
4955,2,3
3236,1,4
914,4,5
1686,3,2
2642,5,5
6025,4,4
502,4,2
36,1,4
7142,3,2
6032,4,1
3965,3,2
725,2,4
2925,5,1
1183,3,1
7068,2,5
5239,3,4
2683,5,1
5705,4,5
4465,4,4
2450,5,3
5510,3,5
3221,5,4
5815,1,2
5843,5,2
1381,3,2
7546,1,1
3756,4,2
3371,1,2
1928,4,1
7034,5,4
5887,1,1
7430,5,5
3409,3,5
6190,3,2
2378,5,
7058,1,5
3243,1,5
3266,3,1
3289,1,2
6353,2,3
4787,5,1
138,3,5
551,4,1
6040,1,3
984,1,2
5142,2,5
7858,1,2
3030,2,2
5984,2,3
3829,5,4
5922,4,5
6713,1,5
753,4,3
4394,1,
6659,2,2
5214,1,1
7195,3,5
6442,1,1
4583,4,4
3621,2,2
2479,5,3
4949,5,4
6882,1,4
5937,1,
3578,3,4
1414,4,4
2155,1,1
388,4,4
7377,1,1
5793,1,2
2121,4,1
5527,1,2
2261,2,4
7890,4,3
3650,5,4
6124,5,5
1563,3,4
462,3,5
4910,1,4
234,5,1
465,4,4
4184,4,2
631,2,3
625,5,2
6853,2,2
438,1,5
5507,1,5
7563,5,3
6002,4,4
3017,1,4
3321,5,2
4508,5,3
3858,1,2
129,5,3
5504,3,5
1153,1,4
861,3,3
6817,2,5
1014,4,4
5571,5,5
4922,5,2
1084,5,4
1998,4,3
1835,4,1
5674,3,3
1850,5,5
5187,1,5
7504,2,1
6095,2,3
7318,3,
85,3,3
2457,4,4
5947,4,2
3927,3,1
6160,5,2
6094,1,4
3042,2,2
1086,3,2
6023,4,2
3854,3,
6094,1,
90,5,3
3804,3,5
3652,5,5
3731,4,5
16,4,5
5240,2,2
6218,2,
3372,4,1
4086,2,5
5845,2,3
461,2,5
6319,4,
5318,3,5
1731,2,3
3156,2,4
4885,5,5
7678,4,2
3356,3,5
502,3,1
5452,5,2
3440,1,5
3773,5,1
3138,1,2
6418,5,3
6129,2,2
3480,3,2
822,1,1
4136,1,1
1718,5,4
3800,5,1
1105,1,3
6899,2,3
3056,2,1
4424,1,4
6628,5,1
5469,3,1
5323,2,2
3528,3,1
2694,3,3
6783,4,2
4718,4,4
6482,1,4
1669,5,3
6156,4,2
4299,5,3
1040,4,5
